Library	ORF 	Plate	Row	Column	Notes
BooneSDLV2	YBR218C	1	14	13	
BooneSDLV2	YBR111C	1	14	14	
BooneSDLV2	YBR217W	1	14	15	
BooneSDLV2	YBR108W	1	14	16	
BooneSDLV2	YBR216C	1	14	17	
BooneSDLV2	YBR107C	1	14	18	
BooneSDLV2	YBR215W	1	14	19	
BooneSDLV2	YBR106W	1	14	20	
BooneSDLV2	YBR214W	1	14	21	
BooneSDLV2	YBR105C	1	14	22	
BooneSDLV2	YBR213W	1	14	23	
BooneSDLV2	YOR202W	1	14	24	
BooneSDLV2	YOR202W	1	15	1	
BooneSDLV2	YBL015W	1	15	2	
BooneSDLV2	YBR016W	1	15	3	
BooneSDLV2	YBL013W	1	15	4	
BooneSDLV2	YBR015C	1	15	5	
BooneSDLV2	YBL011W	1	15	6	
BooneSDLV2	YBR014C	1	15	7	
BooneSDLV2	YBL010C	1	15	8	
BooneSDLV2	YBR013C	1	15	9	
BooneSDLV2	YBL009W	1	15	10	
BooneSDLV2	YBR012C	1	15	11	
BooneSDLV2	YBL008W	1	15	12	
BooneSDLV2	YBR010W	1	15	13	
BooneSDLV2	YBL007C	1	15	14	
BooneSDLV2	YBR009C	1	15	15	
BooneSDLV2	YBL005W	1	15	16	
BooneSDLV2	YBR008C	1	15	17	
BooneSDLV2	YBL003C	1	15	18	
BooneSDLV2	YBR007C	1	15	19	
BooneSDLV2	YBL001C	1	15	20	
BooneSDLV2	YBR006W	1	15	21	
BooneSDLV2	YAR050W	1	15	22	
BooneSDLV2	YBR005W	1	15	23	
BooneSDLV2	YOR202W	1	15	24	
BooneSDLV2	YOR202W	1	16	1	
BooneSDLV2	YOR202W	1	16	2	
BooneSDLV2	YOR202W	1	16	3	
BooneSDLV2	YOR202W	1	16	4	
BooneSDLV2	YOR202W	1	16	5	
BooneSDLV2	YOR202W	1	16	6	
BooneSDLV2	YOR202W	1	16	7	
BooneSDLV2	YOR202W	1	16	8	
BooneSDLV2	YOR202W	1	16	9	
BooneSDLV2	YOR202W	1	16	10	
BooneSDLV2	YOR202W	1	16	11	
BooneSDLV2	YOR202W	1	16	12	
BooneSDLV2	YOR202W	1	16	13	
BooneSDLV2	YOR202W	1	16	14	
BooneSDLV2	YOR202W	1	16	15	
BooneSDLV2	YOR202W	1	16	16	
BooneSDLV2	YOR202W	1	16	17	
BooneSDLV2	YOR202W	1	16	18	
BooneSDLV2	YOR202W	1	16	19	
BooneSDLV2	YOR202W	1	16	20	
BooneSDLV2	YOR202W	1	16	21	
BooneSDLV2	YOR202W	1	16	22	
BooneSDLV2	YOR202W	1	16	23	
BooneSDLV2	YOR202W	1	16	24	
BooneSDLV2	YOR202W	2	1	1	
BooneSDLV2	YOR202W	2	1	2	
BooneSDLV2	YOR202W	2	1	3	
BooneSDLV2	YOR202W	2	1	4	
BooneSDLV2	YOR202W	2	1	5	
BooneSDLV2	YOR202W	2	1	6	
BooneSDLV2	YOR202W	2	1	7	
BooneSDLV2	YOR202W	2	1	8	
BooneSDLV2	YOR202W	2	1	9	
BooneSDLV2	YOR202W	2	1	10	
BooneSDLV2	YOR202W	2	1	11	
BooneSDLV2	YOR202W	2	1	12	
BooneSDLV2	YOR202W	2	1	13	
BooneSDLV2	YOR202W	2	1	14	
BooneSDLV2	YOR202W	2	1	15	
BooneSDLV2	YOR202W	2	1	16	
BooneSDLV2	YOR202W	2	1	17	
BooneSDLV2	YOR202W	2	1	18	
BooneSDLV2	YOR202W	2	1	19	
BooneSDLV2	YOR202W	2	1	20	
BooneSDLV2	YOR202W	2	1	21	
BooneSDLV2	YOR202W	2	1	22	
BooneSDLV2	YOR202W	2	1	23	
BooneSDLV2	YOR202W	2	1	24	
BooneSDLV2	YOR202W	2	2	1	
BooneSDLV2	YCR076C	2	2	2	
BooneSDLV2	YDL090C	2	2	3	a-specific sterile
BooneSDLV2	YCR075C	2	2	4	
BooneSDLV2	YDL089W	2	2	5	
BooneSDLV2	YCR073W-A	2	2	6	
BooneSDLV2	YDL088C	2	2	7	
BooneSDLV2	YCR073C	2	2	8	
BooneSDLV2	YDL086W	2	2	9	
BooneSDLV2	YCR071C	2	2	10	petite
BooneSDLV2	YDL085W	2	2	11	
BooneSDLV2	YCR069W	2	2	12	
BooneSDLV2	YDL083C	2	2	13	
BooneSDLV2	YCR068W	2	2	14	
BooneSDLV2	YDL082W	2	2	15	
BooneSDLV2	YCR067C	2	2	16	
BooneSDLV2	YDL081C	2	2	17	
BooneSDLV2	YCR065W	2	2	18	
BooneSDLV2	YDL080C	2	2	19	
BooneSDLV2	YCR063W	2	2	20	
BooneSDLV2	YDL079C	2	2	21	
BooneSDLV2	YCR062W	2	2	22	
BooneSDLV2	YDL078C	2	2	23	
BooneSDLV2	YOR202W	2	2	24	
BooneSDLV2	YOR202W	2	3	1	
BooneSDLV2	YBR235W	2	3	2	
BooneSDLV2	YCL036W	2	3	3	
BooneSDLV2	YBR233W	2	3	4	
BooneSDLV2	YCL035C	2	3	5	
BooneSDLV2	YBR232C	2	3	6	
BooneSDLV2	YCL034W	2	3	7	
BooneSDLV2	YBR231C	2	3	8	
BooneSDLV2	YCL033C	2	3	9	
BooneSDLV2	YBR230C	2	3	10	
BooneSDLV2	YCL032W	2	3	11	
BooneSDLV2	YBR229C	2	3	12	
BooneSDLV2	YCL030C	2	3	13	His biogenesis
BooneSDLV2	YBR228W	2	3	14	
BooneSDLV2	YCL029C	2	3	15	
BooneSDLV2	YBR227C	2	3	16	
BooneSDLV2	YCL028W	2	3	17	
BooneSDLV2	YBR226C	2	3	18	
BooneSDLV2	YCL027W	2	3	19	
BooneSDLV2	YBR225W	2	3	20	
BooneSDLV2	YCL026C-A	2	3	21	
BooneSDLV2	YBR224W	2	3	22	
BooneSDLV2	YCL026C	2	3	23	
BooneSDLV2	YOR202W	2	3	24	
BooneSDLV2	YOR202W	2	4	1	
BooneSDLV2	YCR089W	2	4	2	
BooneSDLV2	YDL110C	2	4	3	
BooneSDLV2	YCR088W	2	4	4	
BooneSDLV2	YDL109C	2	4	5	
BooneSDLV2	YCR087W	2	4	6	
BooneSDLV2	YDL106C	2	4	7	
BooneSDLV2	YCR087C-A	2	4	8	
BooneSDLV2	YDL104C	2	4	9	petite
BooneSDLV2	YCR086W	2	4	10	
BooneSDLV2	YDL100C	2	4	11	
BooneSDLV2	YCR085W	2	4	12	
BooneSDLV2	YDL099W	2	4	13	
BooneSDLV2	YCR083W	2	4	14	
BooneSDLV2	YDL096C	2	4	15	
BooneSDLV2	YCR082W	2	4	16	
BooneSDLV2	YDL095W	2	4	17	
BooneSDLV2	YCR081W	2	4	18	sterile?
BooneSDLV2	YDL094C	2	4	19	
BooneSDLV2	YCR079W	2	4	20	
BooneSDLV2	YDL093W	2	4	21	
BooneSDLV2	YCR077C	2	4	22	
BooneSDLV2	YDL091C	2	4	23	
BooneSDLV2	YOR202W	2	4	24	
BooneSDLV2	YOR202W	2	5	1	
BooneSDLV2	YBR250W	2	5	2	
BooneSDLV2	YCL049C	2	5	3	
BooneSDLV2	YBR249C	2	5	4	
BooneSDLV2	YCL048W	2	5	5	
BooneSDLV2	YBR248C	2	5	6	His biogenesis
BooneSDLV2	YCL047C	2	5	7	
BooneSDLV2	YBR246W	2	5	8	
BooneSDLV2	YCL046W	2	5	9	
BooneSDLV2	YBR245C	2	5	10	
BooneSDLV2	YCL045C	2	5	11	
BooneSDLV2	YBR244W	2	5	12	
BooneSDLV2	YCL044C	2	5	13	
BooneSDLV2	YBR242W	2	5	14	
BooneSDLV2	YCL042W	2	5	15	
BooneSDLV2	YBR241C	2	5	16	
BooneSDLV2	YCL040W	2	5	17	
BooneSDLV2	YBR240C	2	5	18	
BooneSDLV2	YCL039W	2	5	19	
BooneSDLV2	YBR239C	2	5	20	
BooneSDLV2	YCL038C	2	5	21	
BooneSDLV2	YBR238C	2	5	22	
BooneSDLV2	YCL037C	2	5	23	
BooneSDLV2	YOR202W	2	5	24	
BooneSDLV2	YOR202W	2	6	1	
BooneSDLV2	YCR105W	2	6	2	
BooneSDLV2	YDL125C	2	6	3	
BooneSDLV2	YCR102W-A	2	6	4	
BooneSDLV2	YDL124W	2	6	5	
BooneSDLV2	YCR102C	2	6	6	
BooneSDLV2	YDL123W	2	6	7	
BooneSDLV2	YCR101C	2	6	8	
BooneSDLV2	YDL122W	2	6	9	
BooneSDLV2	YCR100C	2	6	10	
BooneSDLV2	YDL121C	2	6	11	
BooneSDLV2	YCR099C	2	6	12	
BooneSDLV2	YDL119C	2	6	13	
BooneSDLV2	YCR098C	2	6	14	
BooneSDLV2	YDL118W	2	6	15	
BooneSDLV2	YCR095C	2	6	16	
BooneSDLV2	YDL117W	2	6	17	
BooneSDLV2	YCR092C	2	6	18	
BooneSDLV2	YDL114W	2	6	19	
BooneSDLV2	YCR091W	2	6	20	
BooneSDLV2	YDL113C	2	6	21	
BooneSDLV2	YCR090C	2	6	22	
BooneSDLV2	YDL112W	2	6	23	
BooneSDLV2	YOR202W	2	6	24	
BooneSDLV2	YOR202W	2	7	1	
BooneSDLV2	YBR269C	2	7	2	
BooneSDLV2	YCL069W	2	7	3	
BooneSDLV2	YBR267W	2	7	4	
BooneSDLV2	YCL064C	2	7	5	
BooneSDLV2	YBR266C	2	7	6	
BooneSDLV2	YCL063W	2	7	7	
BooneSDLV2	YBR264C	2	7	8	
BooneSDLV2	YCL062W	2	7	9	
BooneSDLV2	YBR263W	2	7	10	
BooneSDLV2	YCL061C	2	7	11	
BooneSDLV2	YBR262C	2	7	12	
BooneSDLV2	YCL060C	2	7	13	
BooneSDLV2	YBR261C	2	7	14	
BooneSDLV2	YCL057W	2	7	15	
BooneSDLV2	YBR260C	2	7	16	
BooneSDLV2	YCL056C	2	7	17	
BooneSDLV2	YBR259W	2	7	18	
BooneSDLV2	YCL055W	2	7	19	
BooneSDLV2	YBR258C	2	7	20	
BooneSDLV2	YCL051W	2	7	21	
BooneSDLV2	YBR255W	2	7	22	
BooneSDLV2	YCL050C	2	7	23	
BooneSDLV2	YOR202W	2	7	24	
BooneSDLV2	YOR202W	2	8	1	
BooneSDLV2	YDL020C	2	8	2	
BooneSDLV2	YDL135C	2	8	3	
BooneSDLV2	YDL019C	2	8	4	
BooneSDLV2	YDL134C-A	2	8	5	
BooneSDLV2	YDL018C	2	8	6	
BooneSDLV2	YDL134C	2	8	7	
BooneSDLV2	YDL013W	2	8	8	
